CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;FICHA;PROGRAMA;VERSION_PROGRAMA;TIPO_FORMACION;RESPUESTA;FECHA_INICIO;FECHA_FIN;ESTADO_FICHA;APRENDICES_ACTIVOS;PROGRAMADA;CODIGO_PROGRAMA_ESPECIAL;PROGRAMA_ESPECIAL;CODIGO_CONVENIO;AMPLIACION_DE_COBERTURA;CONVENIO;EMPRESA_TIPO_DOCUMENTO;EMPRESA_NUMERO_DOCUMENTO;EMPRESA;TIPO_FICHA;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2932787;HERRAMIENTAS AVANZADAS DE HOJA DE CALCULO;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-25 00:00:00.0;2024-04-02 00:00:00.0;Terminada;24;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2937979;HERRAMIENTAS AVANZADAS DE HOJA DE CALCULO;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-18 00:00:00.0;2024-04-01 00:00:00.0;Terminada;27;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2907008;IMPLEMENTACION DE ACCIONES DE FORMACION PROFESIONAL;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-08 00:00:00.0;2024-02-21 00:00:00.0;Terminada;16;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2908381;IMPLEMENTACION DE ACCIONES DE FORMACION PROFESIONAL;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-08 00:00:00.0;2024-02-21 00:00:00.0;Terminada;14;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2948277;IMPLEMENTACION DE SISTEMA DE CONTROL CON INTERNET DE LAS COSAS;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-11 00:00:00.0;2024-04-22 00:00:00.0;Terminada;6;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;8999990341;SERVICIO NACIONAL DE APRENDIZAJE - SENA;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2932933;INDUCCION A LOS SISTEMAS DE GESTION AMBIENTAL;2;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-02 00:00:00.0;2024-03-07 00:00:00.0;Terminada;18;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;9008664409;CONCESIONES NUEVO CAUCA SAS;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2911060;INFORMATICA: MICROSOFT WORD, EXCEL E INTERNET;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-14 00:00:00.0;2024-02-23 00:00:00.0;Terminada;20;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2945235;INFORMATICA: MICROSOFT WORD, EXCEL E INTERNET;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-19 00:00:00.0;2024-03-30 00:00:00.0;Terminada;23;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2909071;INGLES BASICO - NIVEL 1;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-14 00:00:00.0;2024-03-21 00:00:00.0;Terminada;16;S;1013;PROGRAMA DE BILINGUISMO;0;;;NIT;9007239889;HMCL COLOMBIA S.A.S.;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2914439;INGLES BASICO - NIVEL 1;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-20 00:00:00.0;2024-03-23 00:00:00.0;Terminada;15;S;1013;PROGRAMA DE BILINGUISMO;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
